fid,field_1,link,captured,date,x,y,image_name,location
"1","1","https://www.google.com/maps/@1.2923,103.7687637,3a,75y,183.5h,71.78t/data=!3m6!1e1!3m4!1sCQsuc0_-uJpRbVx5N69oLw!2e0!7i16384!8i8192","1","305",1.2923,103.7687637,panorama-CQsuc0_-uJpRbVx5N69oLw,Clementi Rd
"2","2","https://www.google.com/maps/@1.2926225,103.7690171,3a,60y,318.17h,90.68t/data=!3m6!1e1!3m4!1sXo_49S4ikpysjb6u0PadHw!2e0!7i16384!8i8192","1","305",1.2926225,103.7690171,panorama-Xo_49S4ikpysjb6u0PadHw,Clementi Rd
"3","3","https://www.google.com/maps/@1.2929788,103.7693119,3a,75y,134.26h,86.03t/data=!3m6!1e1!3m4!1sflEXzyChlitmH43yDNmsUg!2e0!7i16384!8i8192","1","305",1.2929788,103.7693119,panorama-flEXzyChlitmH43yDNmsUg,Clementi Rd
"4","4","https://www.google.com/maps/@1.2921265,103.7688819,3a,75y,128.2h,68.13t/data=!3m6!1e1!3m4!1spxEvu5FvHeEHthUT2rF9sw!2e0!7i16384!8i8192","1","305",1.2921265,103.7688819,panorama-pxEvu5FvHeEHthUT2rF9sw,Clementi Rd
"5","5","https://www.google.com/maps/@1.2920968,103.7683694,3a,75y,30.79h,89.99t/data=!3m10!1e1!3m8!1s1X2OtcAf8ev8blY32rrzdA!2e0!5s20180201T000000!7i16384!8i8192!9m2!1b1!2i15","1","305",1.2920968,103.7683694,panorama-1X2OtcAf8ev8blY32rrzdA,Clementi Rd
"6","6","https://www.google.com/maps/@1.2932076,103.7670787,3a,75y,313.19h,92.43t/data=!3m10!1e1!3m8!1soHuIwIZMhBsOLY-Nwj6cYg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DoHuIwIZMhBsOLY-Nwj6cYg%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D235.39557%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i31","1","305",1.2932076,103.7670787,panorama-oHuIwIZMhBsOLY-Nwj6cYg,Clementi Rd
"7","7","https://www.google.com/maps/@1.2941682,103.766859,3a,75y,15h,61.57t/data=!3m7!1e1!3m5!1s2xbvB8b4Dr1J4oC2YEsiAQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3D2xbvB8b4Dr1J4oC2YEsiAQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D254.76479%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192","1","305",1.2941682,103.766859,panorama-2xbvB8b4Dr1J4oC2YEsiAQ,Clementi Rd
"8","8","https://www.google.com/maps/@1.2940772,103.7666215,3a,75y,343.04h,83.32t/data=!3m9!1e1!3m7!1sSH3Chs_SerypOatxaIJ89w!2e0!7i16384!8i8192!9m2!1b1!2i31","1","305",1.2940772,103.7666215,panorama-SH3Chs_SerypOatxaIJ89w,Clementi Rd
"9","9","https://www.google.com/maps/@1.2955562,103.7667016,3a,75y,114.42h,85.7t/data=!3m10!1e1!3m8!1sjLW48R1z20uyhxP7qlf_nw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DjLW48R1z20uyhxP7qlf_nw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D79.81299%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192!9m2!1b1!2i31","1","305",1.2955562,103.7667016,panorama-jLW48R1z20uyhxP7qlf_nw,Clementi Rd
"10","10","https://www.google.com/maps/@1.3021838,103.7641633,3a,75y,341.01h,76.04t/data=!3m10!1e1!3m8!1si-U2hUx2oZG4ix9GLNJ_Fw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3Di-U2hUx2oZG4ix9GLNJ_Fw%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D6.3858223%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!9m2!1b1!2i30","1","305",1.3021838,103.7641633,panorama-i-U2hUx2oZG4ix9GLNJ_Fw,Clementi Neighborhood Centre
"11","11","https://www.google.com/maps/@1.3025276,103.7647574,3a,75y,314.72h,80.83t/data=!3m9!1e1!3m7!1sjuO1TFjAhsq5m8eiSdUfrQ!2e0!7i13312!8i6656!9m2!1b1!2i32","1","305",1.3025276,103.7647574,panorama-juO1TFjAhsq5m8eiSdUfrQ,Clementi Neighborhood Centre
"12","12","https://www.google.com/maps/@1.3028738,103.7645919,3a,75y,236.29h,86.07t/data=!3m10!1e1!3m8!1sIZDjWnYp-_d3xJBhWAKchA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DIZDjWnYp-_d3xJBhWAKchA%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D119.418274%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!9m2!1b1!2i32","1","305",1.3028738,103.7645919,panorama-IZDjWnYp-_d3xJBhWAKchA,Clementi Neighborhood Centre
"13","13","https://www.google.com/maps/@1.3033162,103.7642894,3a,75y,60.47h,82.33t/data=!3m9!1e1!3m7!1sqWsENe-pvgzbhdDbnGPkjA!2e0!7i16384!8i8192!9m2!1b1!2i32","1","305",1.3033162,103.7642894,panorama-qWsENe-pvgzbhdDbnGPkjA,Clementi Neighborhood Centre
